idauniq,happy
100005,1
100005,0
100006,1
100007,1
100007,1
100007,1
100007,1
100007,1
100007,1
100009,1
100009,1
100009,1
100009,1
100009,1
100012,1
100012,1
100012,1
100012,1
100024,1
100024,1
100024,1
100025,1
100025,1
100025,1
100025,1
100025,1
100025,1
100025,1
100026,1
100026,1
100026,1
100026,1
100026,1
100026,1
100029,1
100029,1
100029,1
100029,1
100031,1
100031,1
100035,1
100035,1
100037,1
100038,1
100039,1
100039,1
100039,1
100039,1
100039,1
100041,1
100042,1
100044,1
100044,1
100044,1
100045,1
100045,1
100047,0
100047,1
100047,1
100047,1
100047,1
100049,1
100049,1
100049,1
100049,1
100052,1
100052,1
100052,1
100052,1
100054,1
100054,0
100054,1
100054,1
100054,1
100055,1
100055,1
100055,1
100055,1
100055,1
100055,1
100056,1
100057,1
100057,1
100057,1
100057,1
100057,1
100057,0
100058,1
100058,1
100059,1
100059,1
100059,1
100059,1
100059,1
100061,1
100061,1
100061,1
100063,1
100063,1
100063,1
100067,0
100068,1
100068,1
100068,1
100068,1
100068,1
100069,1
100071,0
100071,0
100071,0
100071,0
100071,1
100071,0
100071,1
100074,0
100074,1
100074,1
100074,1
100075,1
100075,1
100077,1
100077,1
100077,1
100077,1
100077,1
100077,0
100077,1
100077,1
100077,1
100079,1
100080,1
100081,1
100081,1
100081,1
100081,1
100081,1
100081,1
100081,1
100082,1
100082,1
100082,1
100083,0
100088,1
100091,1
100091,1
100091,0
100091,1
100091,0
100093,1
100093,1
100093,1
100093,1
100095,1
100095,1
100095,1
100095,1
100095,1
100095,1
100095,1
100095,1
100095,1
100096,1
100096,1
100098,1
100098,1
100098,1
100098,1
100098,1
100098,1
100098,1
100098,1
100098,1
100099,1
100099,0
100102,1
100102,1
100102,1
100102,1
100102,1
100105,1
100105,1
100105,1
100105,1
100105,1
101109,1
101109,1
101109,1
101109,1
101109,1
101163,1
101163,0
101163,1
101166,1
101166,1
101166,1
101166,1
101166,1
101166,1
101166,1
101256,0
101256,0
101256,0
101256,1
101256,1
101256,1
101374,1
101375,1
101544,1
101544,1
101544,1
101546,1
101546,1
101546,1
101546,1
101546,0
101546,1
101546,1
101572,1
101572,1
101572,1
101572,1
101579,1
101579,1
101579,1
101579,1
101636,1
101641,1
101721,0
101721,1
101721,0
101879,1
101879,1
101879,1
101879,1
101879,1
101879,1
101879,1
101879,1
101982,1
102264,0
102264,1
102264,1
102264,0
102264,1
102333,1
102372,1
102372,1
102372,1
102372,1
102372,0
102382,0
102382,1
102390,1
102520,1
102539,1
102539,1
102539,1
102539,1
102626,1
102692,1
102692,1
102692,1
102692,1
102816,1
102816,1
102816,0
102816,1
102840,1
102840,1
102840,1
102840,1
102929,0
102998,1
102998,1
103138,1
103138,1
103138,1
103138,1
103138,1
103138,1
103138,1
103160,1
103160,1
103161,1
103161,0
103178,1
103178,1
103194,1
103194,1
103194,1
103194,1
103194,1
103194,1
103216,1
103216,1
103216,1
103216,1
103216,1
103321,1
103321,1
103321,1
103321,1
103321,1
103321,1
103445,1
103445,1
103445,1
103445,1
103445,1
103453,0
103464,1
103464,0
103464,1
103464,1
103480,1
103481,1
103481,1
103505,1
103505,1
103517,1
103699,1
103699,1
103699,1
103699,1
103699,1
103712,1
103712,1
103712,1
103712,1
103713,1
103713,1
103713,1
103714,1
103714,1
103714,1
103714,1
103715,1
103715,1
103716,1
103716,1
103716,1
103716,1
103716,1
103716,1
103716,1
103717,0
103717,1
103717,1
103717,1
103717,1
103717,1
103718,1
103720,1
103720,1
103720,1
103721,1
103721,1
103722,1
103722,0
103722,1
103722,0
103723,1
103724,1
103724,1
103724,1
103724,1
103724,1
103724,1
103724,1
103724,1
103724,1
103725,1
103725,1
103725,1
103725,1
103725,1
103726,1
103726,1
103726,1
103726,1
103726,1
103727,1
103727,1
103727,1
103727,1
103727,1
103728,1
103729,1
103729,1
103729,1
103729,0
103729,1
103729,1
103730,1
103730,1
103730,1
103731,1
103731,1
103731,1
103731,0
103731,1
103731,1
103732,1
103732,1
103732,0
103733,1
103733,1
103734,1
103734,1
103734,1
103734,1
103734,1
103734,1
103734,1
103735,1
103735,1
103736,1
103736,1
103736,1
103736,1
103736,1
103736,1
103736,1
103737,1
103737,1
103737,1
103737,1
103737,1
103737,1
103737,0
103738,1
103738,1
103738,1
103738,1
103738,1
103738,1
103738,1
103738,1
103738,1
103739,1
103739,0
103740,1
103740,1
103740,1
103740,0
103741,1
103741,1
103742,1
103742,1
103742,1
103742,1
103742,1
103742,1
103742,1
103742,1
103743,1
103743,1
103744,1
103744,1
103744,1
103744,1
103744,1
103744,0
103744,0
103745,1
103745,1
103745,1
103745,1
103745,1
103746,0
103747,1
103747,1
103747,1
103747,1
103748,1
103748,1
103748,1
103748,1
103748,1
103748,1
103748,1
103748,1
103749,1
103749,1
103749,0
103749,1
103749,0
103749,0
103749,0
